@relation Features-weka.filters.unsupervised.attribute.Remove-R2-4

@attribute label {False,True}
@attribute Cosine numeric

@data
False,0
False,0.065795
True,0
True,0.096225
True,0.171499
True,0.319801
False,0.524142
False,0.392232
True,0.094491
True,0.175412
True,0.348155
False,0
False,0.106904
False,0
False,0.196116
True,0
False,0.133631
False,0.176777
True,0.365148
False,0.188982
True,0.286039
True,0.285714
True,0.263117
False,0.099015
True,0.341882
True,0.077152
True,0.235702
False,0.052705
False,0.182574
True,0.793884
False,0.144338
True,0.387298
True,0
True,0.3371
True,0.522976
False,0.13159
False,0
False,0.141421
True,0.475651
False,0.344265
False,0.18334
True,0.33541
False,0
True,0.511891
True,0.258199
True,0.40032
False,0
False,0.258199
True,0.555556
True,0.433861
False,0
False,0.235702
False,0.235702
True,0.111803
True,0.182574
True,0.166667
False,0
True,0.376889
True,0.270031
True,0.095346
False,0
True,0.313112
False,0.332956
True,0.345033
True,0.316228
True,0
True,0.298142
True,0.144338
False,0.214286
False,0
True,0.204124
True,0.5
False,0.182574
False,0
True,0.471405
True,0.57735
False,0
False,0.178174
True,0.417815
True,0.227921
True,0.5547
True,0.452267
False,0.140028
True,0.546594
False,0
True,0.263117
False,0.179284
False,0
True,0.503953
False,0
True,0
True,0.237171
True,0.369274
False,0.353553
False,0.187523
False,0
False,0
False,0
True,0.662266
True,0.080064
False,0
True,0.2566
True,0.400892
False,0
False,0.161515
False,0
False,0.07785
False,0
False,0.077152
True,0.1849
False,0.125988
True,0.317554
True,0.67082
True,0.098058
True,0.316228
False,0.175412
True,0.272166
False,0
True,0.242536
True,0.251976
True,0.102062
False,0.14825
False,0.154303
True,0.305505
False,0.223607
True,0.61993
True,0.29277
False,0
False,0
False,0.213201
False,0.074536
True,0.154303
False,0.141421
True,0.447214
False,0
True,0.333333
False,0.210819
False,0.076472
False,0.331133
False,0
True,0.625
True,0.113961
False,0.063246
False,0
True,0.505076
False,0.089087
True,0.100504
False,0.119523
False,0.174078
True,0.187867
False,0
False,0
True,0.57735
False,0
False,0
False,0.286039
True,0.29277
True,0.460566
True,0.471405
False,0.091287
True,0.392837
True,0.276686
True,0.433013
True,0.555556
False,0.065938
False,0.226779
True,0.166667
True,0.27735
False,0.288675
False,0
True,0.123091
True,0.077152
True,0.377964
False,0.154303
True,0.282843
True,0.521749
False,0.100504
True,0.376889
False,0
False,0
False,0
False,0.438763
True,0.881962
False,0.285714
True,1
False,0
False,0.169031
False,0.113961
True,0.154303
True,0.267261
False,0
True,0.341882
False,0.181568
True,0.308607
True,0.288675
False,0.471405
False,0.131876
False,0.109109
False,0
False,0
False,0.142134
False,0
False,0.054554
True,0.251976
True,0.3849
False,0.063246
True,0.402015
True,0.755929
False,0
False,0.154303
True,0.316228
True,0
True,0
True,0
False,0.1557
True,0.298142
True,0.13484
False,0
True,0
False,0
False,0.29277
False,0
False,0.109109
True,0.559017
False,0
False,0.369274
True,0.344265
False,0.333333
True,0.218218
False,0.308607
True,0.182574
True,0.301511
True,0.549972
True,0.400892
False,0.090909
True,0.433013
False,0
True,0.600245
True,0.578542
True,0.246183
False,0.204124
False,0.073127
True,0.169031
False,0.146647
True,0.3849
False,0
False,0
False,0.105409
True,0.234509
True,0.547723
True,0.158114
True,0.538462
True,0.408248
False,0.472456
True,0.516398
False,0.171499
False,0.320256
True,0.353553
True,0.109109
True,0.57735
False,0.169031
False,0.174574
True,0.3849
False,0
